identificador,mantenimiento,ejercicio,mes
1,servicio de mantenimiento preventivo y correctivo al sistema hidroneumático y de bombeo de la red hidráulica.,2025,sin dato
2,servicio de mantenimiento preventivo y correctivo a dos sistemas de detección y alertamiento de contra incendio.,2025,sin dato
3,servicio de mantenimiento preventivo y correctivo al equipo de bombeo integrado del sistema contra incendio.,2025,sin dato
4,servicio de mantenimiento preventivo y correctivo a equipos de aire acondicionado y equipos de refrigeración de alimentos.,2025,enero
5,servicio de mantenimiento preventivo y correctivo a la plataforma del sistema de circuito cerrado de tv.,2025,enero
6,servicio de mantenimiento preventivo y correctivo a la plataforma del sistema de circuito cerrado de tv.,2025,febrero
7,servicio de mantenimiento preventivo y correctivo a la plataforma del sistema de circuito cerrado de tv.,2025,marzo
8,servicio de mantenimiento preventivo y correctivo a la plataforma del sistema de circuito cerrado de tv.,2025,abril
9,servicio de mantenimiento preventivo y correctivo a la plataforma del sistema de circuito cerrado de tv.,2025,mayo
10,servicio de mantenimiento preventivo y correctivo a la plataforma del sistema de circuito cerrado de tv.,2025,junio
11,servicio de mantenimiento preventivo y correctivo a la plataforma del sistema de circuito cerrado de tv.,2025,julio
12,servicio de mantenimiento preventivo y correctivo a dos sistemas de seguridad de inspección rayos x y arco detector de metales,2025,mayo
13,servicio de mantenimiento preventivo y correctivo a dos sistemas de seguridad de inspección rayos x y arco detector de metales,2025,junio
14,servicio de mantenimiento preventivo y correctivo a barrera vehicular.,2025,sin dato
15,servicio de mantenimiento preventivo y correctivo a equipos de elevación de carga de la planta productiva.,2025,sin dato
16,servicio de mantenimiento preventivo y correctivo a equipos del gimnasio.,2025,sin dato
17,servicio de limpieza y desazolve a la red de drenaje.,2025,sin dato
18,servicio de mantenimiento a calentador de agua para regaderas,2025,sin dato
19,adquisición de luminarias tipo led para la planta productiva.,2025,febrero
20,servicio de mantenimiento de jardinería y fumigación.,2025,enero
21,servicio de mantenimiento de jardinería y fumigación.,2025,febrero
22,servicio de mantenimiento de jardinería y fumigación.,2025,marzo
23,servicio de mantenimiento de jardinería y fumigación.,2025,abril
24,servicio de mantenimiento de jardinería y fumigación.,2025,mayo
25,servicio de mantenimiento de jardinería y fumigación.,2025,junio
26,servicio de mantenimiento de jardinería y fumigación.,2025,julio
27,"servicio de trámites ambientales, estudios y evaluaciones",2025,marzo
28,"servicio de trámites ambientales, estudios y evaluaciones",2025,junio
